Survived,Pclass,Sex,Age,AgeGroup,FareType,Fare,ThirdClass
No,3,male,33,Between18and40,Expensive,20.525,Yes
Yes,2,male,8,Under18,Expensive,36.75,No
Yes,1,male,17,Under18,Expensive,110.8833,No
No,2,male,27,Between18and40,Expensive,26,No
No,3,male,21,Between18and40,Standard,7.8292,Yes
Yes,3,male,22,Between18and40,Standard,7.225,Yes
Yes,3,female,22,Between18and40,Standard,7.775,Yes
No,1,male,62,Over40,Expensive,26.55,No
Yes,1,female,48,Over40,Expensive,39.6,No
No,1,male,45,Over40,Expensive,227.525,No
Yes,1,female,39,Between18and40,Expensive,79.65,No
Yes,3,female,36,Between18and40,Standard,17.4,Yes
No,3,male,30,Between18and40,Standard,7.75,Yes
No,3,male,40,Over40,Standard,7.8958,Yes
No,2,male,28,Between18and40,Standard,13.5,No
No,3,male,40,Over40,Standard,8.05,Yes
No,3,female,62,Over40,Standard,8.05,Yes
No,3,male,24,Between18and40,Expensive,24.15,Yes
No,3,male,19,Between18and40,Standard,7.8958,Yes
No,3,female,29,Between18and40,Expensive,21.075,Yes
No,3,male,28,Between18and40,Standard,7.2292,Yes
Yes,3,male,32,Between18and40,Standard,7.8542,Yes
Yes,2,male,62,Over40,Standard,10.5,No
Yes,1,female,53,Over40,Expensive,51.4792,No
Yes,1,male,36,Between18and40,Expensive,26.3875,No
Yes,3,female,22,Between18and40,Standard,7.75,Yes
No,3,male,16,Under18,Standard,8.05,Yes
No,3,male,19,Between18and40,Standard,14.5,Yes
Yes,2,female,34,Between18and40,Standard,13,No
Yes,1,female,39,Between18and40,Expensive,55.9,No
No,3,female,18,Under18,Standard,14.4583,Yes
Yes,3,male,32,Between18and40,Standard,7.925,Yes
Yes,2,female,25,Between18and40,Expensive,30,No
Yes,1,female,39,Between18and40,Expensive,110.8833,No
No,2,male,54,Over40,Expensive,26,No
No,1,male,36,Between18and40,Expensive,40.125,No
No,3,male,16,Under18,Standard,8.7125,Yes
Yes,1,female,18,Under18,Expensive,79.65,No
No,2,male,47,Over40,Standard,15,No
Yes,1,male,60,Over40,Expensive,79.2,No
No,3,male,22,Between18and40,Standard,8.05,Yes
No,3,male,22,Between18and40,Standard,8.05,Yes
No,3,male,35,Between18and40,Standard,7.125,Yes
Yes,1,female,52,Over40,Expensive,78.2667,No
No,3,male,47,Over40,Standard,7.25,Yes
No,3,female,40,Over40,Standard,7.75,Yes
No,2,male,37,Between18and40,Expensive,26,No
No,3,male,36,Between18and40,Expensive,24.15,Yes
Yes,2,female,31,Between18and40,Expensive,33,No
No,3,male,49,Over40,Standard,0,Yes
No,3,male,18,Under18,Standard,7.225,Yes
Yes,1,male,49,Over40,Expensive,56.9292,No
Yes,2,female,24,Between18and40,Expensive,27,No
No,3,male,42,Over40,Standard,7.8958,Yes
No,1,male,37,Between18and40,Expensive,42.4,No
No,3,male,44,Over40,Standard,8.05,Yes
Yes,1,male,35,Between18and40,Expensive,26.55,No
No,3,male,36,Between18and40,Standard,15.55,Yes
No,3,male,30,Between18and40,Standard,7.8958,Yes
Yes,1,male,27,Between18and40,Expensive,30.5,No
Yes,2,female,22,Between18and40,Expensive,41.5792,No
Yes,1,female,40,Over40,Expensive,153.4625,No
No,3,female,39,Between18and40,Expensive,31.275,Yes
No,3,male,21,Between18and40,Standard,7.05,Yes
Yes,3,female,18,Under18,Standard,15.5,Yes
No,3,male,22,Between18and40,Standard,7.75,Yes
No,3,male,35,Between18and40,Standard,8.05,Yes
Yes,2,female,24,Between18and40,Expensive,65,No
No,3,male,34,Between18and40,Standard,14.4,Yes
No,3,female,26,Between18and40,Standard,16.1,Yes
Yes,2,female,4,Under18,Expensive,39,No
No,2,male,26,Between18and40,Standard,10.5,No
No,3,male,27,Between18and40,Standard,14.4542,Yes
Yes,1,male,42,Over40,Expensive,52.5542,No
Yes,3,male,20,Between18and40,Standard,15.7417,Yes
No,3,male,21,Between18and40,Standard,7.8542,Yes
No,3,male,21,Between18and40,Standard,16.1,Yes
No,1,male,61,Over40,Expensive,32.3208,No
No,2,male,57,Over40,Standard,12.35,No
Yes,1,female,21,Between18and40,Expensive,77.9583,No
No,3,male,26,Between18and40,Standard,7.8958,Yes
No,3,male,18,Under18,Standard,7.7333,Yes
Yes,1,male,80,Over40,Expensive,30,No
No,3,male,51,Over40,Standard,7.0542,Yes
Yes,1,male,32,Between18and40,Expensive,30.5,No
No,1,male,30,Between18and40,Standard,0,No
No,3,female,9,Under18,Expensive,27.9,Yes
Yes,2,female,28,Between18and40,Standard,13,No
No,3,male,32,Between18and40,Standard,7.925,Yes
No,2,male,31,Between18and40,Expensive,26.25,No
No,3,female,41,Over40,Expensive,39.6875,Yes
No,3,male,37,Between18and40,Standard,16.1,Yes
No,3,male,20,Between18and40,Standard,7.8542,Yes
Yes,1,female,24,Between18and40,Expensive,69.3,No
No,3,female,2,Under18,Expensive,27.9,Yes
Yes,3,male,32,Between18and40,Expensive,56.4958,Yes
Yes,3,female,0.75,Under18,Expensive,19.2583,Yes
Yes,1,male,48,Over40,Expensive,76.7292,No
No,3,male,19,Between18and40,Standard,7.8958,Yes
Yes,1,male,56,Over40,Expensive,35.5,No
No,3,male,21,Between18and40,Standard,7.55,Yes
Yes,3,female,23,Between18and40,Standard,7.55,Yes
No,3,male,23,Between18and40,Standard,7.8958,Yes
Yes,2,female,18,Under18,Expensive,23,No
No,3,male,21,Between18and40,Standard,8.4333,Yes
Yes,3,female,16,Under18,Standard,7.8292,Yes
No,3,female,18,Under18,Standard,6.75,Yes
No,2,male,24,Between18and40,Expensive,73.5,No
No,3,male,27,Between18and40,Standard,7.8958,Yes
No,3,female,32,Between18and40,Standard,15.5,Yes
No,2,male,23,Between18and40,Standard,13,No
No,1,male,58,Over40,Expensive,113.275,No
Yes,1,male,50,Over40,Expensive,133.65,No
No,3,male,40,Over40,Standard,7.225,Yes
No,1,male,47,Over40,Expensive,25.5875,No
No,3,male,36,Between18and40,Standard,7.4958,Yes
Yes,3,male,20,Between18and40,Standard,7.925,Yes
No,2,male,32,Between18and40,Expensive,73.5,No
No,2,male,25,Between18and40,Standard,13,No
No,3,male,49,Over40,Standard,7.775,Yes
No,3,male,43,Over40,Standard,8.05,Yes
Yes,1,female,48,Over40,Expensive,52,No
Yes,2,female,40,Over40,Expensive,39,No
No,1,male,31,Between18and40,Expensive,52,No
No,2,male,70,Over40,Standard,10.5,No
Yes,2,male,31,Between18and40,Standard,13,No
No,2,male,19,Between18and40,Standard,0,No
No,3,male,18,Under18,Standard,7.775,Yes
No,3,male,24.5,Between18and40,Standard,8.05,Yes
Yes,3,female,18,Under18,Standard,9.8417,Yes
No,3,female,43,Over40,Expensive,46.9,Yes
Yes,1,male,36,Between18and40,Expensive,512.3292,No
No,3,female,28,Between18and40,Standard,8.1375,Yes
Yes,1,male,27,Between18and40,Expensive,76.7292,No
No,3,male,20,Between18and40,Standard,9.225,Yes
No,3,male,14,Under18,Expensive,46.9,Yes
No,2,male,60,Over40,Expensive,39,No
No,2,male,25,Between18and40,Expensive,41.5792,No
No,3,male,14,Under18,Expensive,39.6875,Yes
No,3,male,19,Between18and40,Standard,10.1708,Yes
No,3,male,18,Under18,Standard,7.7958,Yes
Yes,1,female,15,Under18,Expensive,211.3375,No
Yes,1,male,31,Between18and40,Expensive,57,No
Yes,3,female,4,Under18,Standard,13.4167,Yes
Yes,3,male,37,Between18and40,Expensive,56.4958,Yes
No,3,male,25,Between18and40,Standard,7.225,Yes
No,1,male,60,Over40,Expensive,26.55,No
No,2,male,52,Over40,Standard,13.5,No
No,3,male,44,Over40,Standard,8.05,Yes
Yes,3,female,19,Between18and40,Standard,7.7333,Yes
No,1,male,49,Over40,Expensive,110.8833,No
No,3,male,42,Over40,Standard,7.65,Yes
Yes,1,female,18,Under18,Expensive,227.525,No
Yes,1,male,35,Between18and40,Expensive,26.2875,No
No,3,female,18,Under18,Standard,14.4542,Yes
No,3,male,25,Between18and40,Standard,7.7417,Yes
No,3,male,26,Between18and40,Standard,7.8542,Yes
No,2,male,39,Between18and40,Expensive,26,No
Yes,2,female,45,Over40,Standard,13.5,No
Yes,1,male,42,Over40,Expensive,26.2875,No
Yes,1,female,22,Between18and40,Expensive,151.55,No
Yes,3,male,4,Under18,Standard,15.2458,Yes
Yes,1,female,24,Between18and40,Expensive,49.5042,No
No,1,male,41,Over40,Expensive,26.55,No
Yes,1,male,48,Over40,Expensive,52,No
No,3,male,29,Between18and40,Standard,9.4833,Yes
No,2,male,52,Over40,Standard,13,No
No,3,male,19,Between18and40,Standard,7.65,Yes
Yes,1,female,38,Between18and40,Expensive,227.525,No
Yes,2,female,27,Between18and40,Standard,10.5,No
No,3,male,33,Between18and40,Standard,7.775,Yes
Yes,2,female,6,Under18,Expensive,33,No
No,3,male,17,Under18,Standard,7.0542,Yes
No,2,male,34,Between18and40,Standard,13,No
No,2,male,50,Over40,Standard,13,No
Yes,1,male,27,Between18and40,Expensive,53.1,No
No,3,male,20,Between18and40,Standard,8.6625,Yes
Yes,2,female,30,Between18and40,Expensive,21,No
Yes,3,female,28,Between18and40,Standard,7.7375,Yes
No,2,male,25,Between18and40,Expensive,26,No
No,3,female,25,Between18and40,Standard,7.925,Yes
Yes,1,female,29,Between18and40,Expensive,211.3375,No
No,3,male,11,Under18,Expensive,18.7875,Yes
No,2,male,41,Over40,Standard,0,No
No,2,male,23,Between18and40,Standard,13,No
No,2,male,23,Between18and40,Standard,13,No
No,3,male,28.5,Between18and40,Standard,16.1,Yes
No,3,female,48,Over40,Expensive,34.375,Yes
Yes,1,male,35,Between18and40,Expensive,512.3292,No
No,3,male,20,Between18and40,Standard,7.8958,Yes
No,3,male,32,Between18and40,Standard,7.8958,Yes
Yes,1,male,45,Over40,Expensive,30,No
No,1,male,36,Between18and40,Expensive,78.85,No
Yes,1,female,21,Between18and40,Expensive,262.375,No
No,3,male,24,Between18and40,Standard,16.1,Yes
Yes,3,male,31,Between18and40,Standard,7.925,Yes
No,1,male,70,Over40,Expensive,71,No
No,3,male,16,Under18,Expensive,20.25,Yes
Yes,2,female,30,Between18and40,Standard,13,No
No,1,male,19,Between18and40,Expensive,53.1,No
No,3,male,31,Between18and40,Standard,7.75,Yes
Yes,2,female,4,Under18,Expensive,23,No
Yes,3,male,6,Under18,Standard,12.475,Yes
No,3,male,33,Between18and40,Standard,9.5,Yes
No,3,male,23,Between18and40,Standard,7.8958,Yes
Yes,2,female,48,Over40,Expensive,65,No
Yes,2,male,0.67,Under18,Standard,14.5,No
No,3,male,28,Between18and40,Standard,7.7958,Yes
No,2,male,18,Under18,Standard,11.5,No
No,3,male,34,Between18and40,Standard,8.05,Yes
Yes,1,female,33,Between18and40,Expensive,86.5,No
No,3,male,23,Between18and40,Standard,14.5,Yes
No,3,male,41,Over40,Standard,7.125,Yes
Yes,3,male,20,Between18and40,Standard,7.2292,Yes
Yes,1,female,36,Between18and40,Expensive,120,No
No,3,male,16,Under18,Standard,7.775,Yes
Yes,1,female,51,Over40,Expensive,77.9583,No
No,1,male,46,Over40,Expensive,39.6,No
No,3,female,30.5,Between18and40,Standard,7.75,Yes
No,3,male,28,Between18and40,Expensive,24.15,Yes
No,3,male,32,Between18and40,Standard,8.3625,Yes
No,3,male,24,Between18and40,Standard,9.5,Yes
No,3,male,48,Over40,Standard,7.8542,Yes
No,2,female,57,Over40,Standard,10.5,No
No,3,male,29,Between18and40,Standard,7.225,Yes
Yes,2,female,54,Over40,Expensive,23,No
No,3,male,18,Under18,Standard,7.75,Yes
No,3,male,20,Between18and40,Standard,7.75,Yes
Yes,3,female,5,Under18,Standard,12.475,Yes
No,3,male,22,Between18and40,Standard,7.7375,Yes
Yes,1,female,43,Over40,Expensive,211.3375,No
Yes,3,female,13,Under18,Standard,7.2292,Yes
Yes,1,female,17,Under18,Expensive,57,No
No,1,male,29,Between18and40,Expensive,30,No
No,3,male,35,Between18and40,Expensive,23.45,Yes
No,3,male,25,Between18and40,Standard,7.05,Yes
No,3,male,25,Between18and40,Standard,7.25,Yes
Yes,3,female,18,Under18,Standard,7.4958,Yes
No,3,male,8,Under18,Expensive,29.125,Yes
Yes,3,male,1,Under18,Expensive,20.575,Yes
No,1,male,46,Over40,Expensive,79.2,No
No,3,male,20,Between18and40,Standard,7.75,Yes
No,2,male,16,Under18,Expensive,26,No
No,3,female,21,Between18and40,Expensive,69.55,Yes
No,1,male,43,Over40,Expensive,30.6958,No
No,3,male,25,Between18and40,Standard,7.8958,Yes
No,2,male,39,Between18and40,Standard,13,No
Yes,1,female,49,Over40,Expensive,25.9292,No
Yes,3,female,31,Between18and40,Standard,8.6833,Yes
No,3,male,30,Between18and40,Standard,7.2292,Yes
No,3,female,30,Between18and40,Expensive,24.15,Yes
No,2,male,34,Between18and40,Standard,13,No
Yes,2,female,31,Between18and40,Expensive,26.25,No
Yes,1,male,11,Under18,Expensive,120,No
Yes,3,male,0.42,Under18,Standard,8.5167,Yes
Yes,3,male,27,Between18and40,Standard,6.975,Yes
No,3,male,31,Between18and40,Standard,7.775,Yes
No,1,male,39,Between18and40,Standard,0,No
No,3,female,18,Under18,Standard,7.775,Yes
No,2,male,39,Between18and40,Standard,13,No
Yes,1,female,33,Between18and40,Expensive,53.1,No
No,3,male,26,Between18and40,Standard,7.8875,Yes
No,3,male,39,Between18and40,Expensive,24.15,Yes
No,2,male,35,Between18and40,Standard,10.5,No
No,3,female,6,Under18,Expensive,31.275,Yes
No,3,male,30.5,Between18and40,Standard,8.05,Yes
No,1,male,39,Between18and40,Standard,0,No
No,3,female,23,Between18and40,Standard,7.925,Yes
No,2,male,31,Between18and40,Expensive,37.0042,No
No,3,male,43,Over40,Standard,6.45,Yes
No,3,male,10,Under18,Expensive,27.9,Yes
Yes,1,female,52,Over40,Expensive,93.5,No
Yes,3,male,27,Between18and40,Standard,8.6625,Yes
No,1,male,38,Between18and40,Standard,0,No
Yes,3,female,27,Between18and40,Standard,12.475,Yes
No,3,male,2,Under18,Expensive,39.6875,Yes
No,3,male,36,Between18and40,Standard,6.95,Yes
No,3,male,23,Between18and40,Expensive,56.4958,Yes
Yes,2,male,1,Under18,Expensive,37.0042,No
Yes,3,male,19,Between18and40,Standard,7.75,Yes
Yes,1,female,62,Over40,Expensive,80,No
Yes,3,female,15,Under18,Standard,14.4542,Yes
Yes,2,male,0.83,Under18,Expensive,18.75,No
No,3,male,30,Between18and40,Standard,7.2292,Yes
No,3,male,23,Between18and40,Standard,7.8542,Yes
No,3,male,18,Under18,Standard,8.3,Yes
Yes,1,female,39,Between18and40,Expensive,83.1583,No
No,3,male,21,Between18and40,Standard,8.6625,Yes
No,3,male,20,Between18and40,Standard,8.05,Yes
Yes,3,male,32,Between18and40,Expensive,56.4958,Yes
Yes,1,male,29,Between18and40,Expensive,29.7,No
No,3,male,20,Between18and40,Standard,7.925,Yes
No,2,male,16,Under18,Standard,10.5,No
Yes,1,female,30,Between18and40,Expensive,31,No
No,3,male,34.5,Between18and40,Standard,6.4375,Yes
No,3,male,17,Under18,Standard,8.6625,Yes
No,3,male,42,Over40,Standard,7.55,Yes
No,3,male,18,Under18,Expensive,69.55,Yes
No,3,male,35,Between18and40,Standard,7.8958,Yes
No,2,male,28,Between18and40,Expensive,33,No
Yes,1,female,40,Over40,Expensive,89.1042,No
No,3,male,4,Under18,Expensive,31.275,Yes
No,3,male,74,Over40,Standard,7.775,Yes
No,3,female,9,Under18,Standard,15.2458,Yes
Yes,1,female,16,Under18,Expensive,39.4,No
No,2,female,44,Over40,Expensive,26,No
Yes,3,female,18,Under18,Standard,9.35,Yes
Yes,1,female,45,Over40,Expensive,164.8667,No
Yes,1,male,51,Over40,Expensive,26.55,No
Yes,3,female,24,Between18and40,Expensive,19.2583,Yes
No,3,male,30,Between18and40,Standard,7.2292,Yes
No,3,male,41,Over40,Standard,14.1083,Yes
No,2,male,21,Between18and40,Standard,11.5,No
Yes,1,female,48,Over40,Expensive,25.9292,No
No,3,female,14,Under18,Expensive,69.55,Yes
No,2,male,24,Between18and40,Standard,13,No
Yes,2,female,42,Over40,Standard,13,No
Yes,2,female,27,Between18and40,Standard,13.8583,No
No,1,male,31,Between18and40,Expensive,50.4958,No
No,3,male,23,Between18and40,Standard,9.5,Yes
Yes,3,male,4,Under18,Standard,11.1333,Yes
No,3,male,26,Between18and40,Standard,7.8958,Yes
Yes,1,female,47,Over40,Expensive,52.5542,No
No,1,male,33,Between18and40,Standard,5,No
No,3,male,47,Over40,Standard,9,Yes
Yes,2,female,28,Between18and40,Expensive,24,No
Yes,3,female,15,Under18,Standard,7.225,Yes
No,3,male,20,Between18and40,Standard,9.8458,Yes
No,3,male,19,Between18and40,Standard,7.8958,Yes
No,3,male,23,Between18and40,Standard,7.8958,Yes
Yes,1,female,56,Over40,Expensive,83.1583,No
Yes,2,female,25,Between18and40,Expensive,26,No
No,3,male,33,Between18and40,Standard,7.8958,Yes
No,3,female,22,Between18and40,Standard,10.5167,Yes
No,2,male,28,Between18and40,Standard,10.5,No
No,3,male,25,Between18and40,Standard,7.05,Yes
No,3,female,39,Between18and40,Expensive,29.125,Yes
No,2,male,27,Between18and40,Standard,13,No
Yes,1,female,19,Between18and40,Expensive,30,No
No,3,female,7,Under18,Expensive,23.45,Yes
Yes,1,male,26,Between18and40,Expensive,30,No
No,3,male,32,Between18and40,Standard,7.75,Yes
